Rang,id,area_ha,area_km2,mean_suit,max_suit,annual_gwh,winter_gwh,gwh_per_ha,E_lv95,N_lv95
432,34,42.6,0.43,0.759,0.821,109.4,49.6,2.567,2765690,1208490
433,224,20.8,0.21,0.759,0.815,58.9,30.0,2.828,2817419,1187650
434,686,53.5,0.54,0.759,0.85,152.3,75.9,2.846,2787895,1160682
435,343,39.6,0.4,0.759,0.847,106.3,49.2,2.688,2711053,1180567
436,932,12.5,0.12,0.759,0.816,34.0,16.1,2.717,2759385,1141744
437,347,17.7,0.18,0.759,0.846,47.5,21.5,2.686,2773293,1180356
438,449,35.5,0.36,0.759,0.831,99.4,44.6,2.801,2725841,1174838
439,231,15.2,0.15,0.758,0.809,39.4,17.1,2.596,2728488,1187168
440,581,17.6,0.18,0.758,0.845,52.7,26.1,2.988,2796285,1166895
441,205,10.9,0.11,0.758,0.827,27.7,11.6,2.548,2730728,1189119
442,796,145.4,1.45,0.758,0.854,411.9,194.7,2.833,2790361,1154598
443,939,11.6,0.12,0.758,0.837,30.5,13.6,2.638,2801546,1141063
444,597,161.7,1.62,0.758,0.862,436.3,197.8,2.698,2780321,1165541
445,438,171.3,1.71,0.758,0.857,467.9,223.9,2.731,2765923,1174854
446,552,10.2,0.1,0.758,0.793,26.2,11.5,2.556,2701587,1168070
447,62,75.2,0.75,0.758,0.828,198.3,91.2,2.637,2778010,1202788
448,835,44.4,0.44,0.757,0.845,124.7,59.1,2.806,2738064,1152931
449,666,194.0,1.94,0.757,0.858,533.5,242.8,2.75,2744356,1161735
450,964,63.0,0.63,0.757,0.855,180.1,87.6,2.859,2766214,1137847
451,952,215.7,2.16,0.757,0.858,581.3,265.4,2.695,2768787,1138733
452,953,51.5,0.52,0.757,0.823,137.2,60.9,2.665,2804802,1138815
453,235,26.3,0.26,0.757,0.846,72.6,35.4,2.76,2779487,1186932
454,84,17.4,0.17,0.757,0.835,43.5,20.3,2.506,2783290,1198343
455,271,22.8,0.23,0.757,0.825,60.1,29.1,2.641,2806370,1184951
456,970,31.1,0.31,0.757,0.819,87.3,39.7,2.805,2734444,1137138
457,770,12.0,0.12,0.757,0.852,33.4,16.1,2.78,2728665,1156828
458,585,30.3,0.3,0.757,0.833,80.8,34.8,2.665,2773374,1166590
459,735,182.2,1.82,0.756,0.851,522.5,256.9,2.868,2778772,1158405
460,177,54.6,0.55,0.756,0.818,145.6,64.9,2.666,2737514,1190419
461,865,32.5,0.32,0.756,0.844,90.9,41.9,2.798,2768552,1148374
462,685,17.3,0.17,0.756,0.807,47.4,21.2,2.736,2762442,1160882
463,408,28.2,0.28,0.756,0.806,78.9,39.3,2.801,2785411,1177213
464,749,10.5,0.1,0.756,0.819,26.9,11.5,2.56,2765759,1158488
465,155,40.2,0.4,0.756,0.827,106.6,49.8,2.654,2764383,1192043
466,215,105.7,1.06,0.756,0.839,296.6,149.3,2.806,2807358,1187781
467,994,14.2,0.14,0.755,0.8,37.4,16.2,2.627,2742377,1132824
468,556,52.9,0.53,0.755,0.838,143.6,62.0,2.713,2735563,1167647
469,589,12.2,0.12,0.755,0.816,30.2,12.9,2.474,2741573,1166406
470,708,21.2,0.21,0.755,0.846,61.3,31.9,2.886,2757675,1159860
471,344,78.9,0.79,0.755,0.84,220.9,114.1,2.801,2823138,1180414
472,1116,167.8,1.68,0.755,0.855,465.4,225.8,2.774,2771098,1157198
473,349,14.9,0.15,0.755,0.824,37.4,16.1,2.512,2764567,1180262
474,296,35.3,0.35,0.755,0.841,90.7,38.9,2.57,2765088,1183744
475,858,178.2,1.78,0.755,0.857,500.4,228.5,2.807,2730896,1149353
476,949,52.9,0.53,0.755,0.805,144.7,65.8,2.737,2728212,1139472
477,530,14.2,0.14,0.755,0.835,39.2,18.8,2.754,2696918,1169785
478,929,11.7,0.12,0.754,0.838,30.5,13.4,2.613,2801463,1141854
479,898,24.9,0.25,0.754,0.858,69.1,31.5,2.769,2731875,1144963
480,997,14.2,0.14,0.754,0.822,38.4,16.9,2.693,2732140,1132631
481,658,91.8,0.92,0.754,0.894,258.0,118.8,2.812,2703526,1162355
482,962,20.1,0.2,0.754,0.852,57.7,28.4,2.865,2732887,1138501
483,150,27.5,0.28,0.754,0.821,72.6,32.1,2.641,2769160,1192720
484,649,11.6,0.12,0.754,0.805,33.3,16.3,2.864,2796966,1163109
485,461,93.2,0.93,0.754,0.849,260.6,118.7,2.797,2722805,1173916
486,639,10.6,0.11,0.754,0.826,26.2,11.1,2.469,2741800,1163628
487,773,10.8,0.11,0.753,0.814,30.3,15.1,2.807,2789923,1156749
488,166,92.5,0.92,0.753,0.834,245.9,112.0,2.658,2773034,1190928
489,289,19.8,0.2,0.753,0.798,51.2,22.9,2.592,2762881,1184103
490,562,11.2,0.11,0.753,0.828,31.0,14.3,2.768,2736204,1167724
491,353,60.1,0.6,0.753,0.827,157.9,68.6,2.626,2744192,1180035
492,359,18.0,0.18,0.753,0.796,48.0,21.4,2.667,2759684,1179965
493,130,11.9,0.12,0.753,0.815,32.0,15.1,2.683,2756508,1194270
494,823,156.1,1.56,0.753,0.858,455.8,232.1,2.92,2758755,1153519
495,1037,259.3,2.59,0.753,0.859,712.4,357.6,2.747,2829326,1200692
496,825,34.3,0.34,0.753,0.831,96.6,47.9,2.815,2740250,1153612
497,692,41.6,0.42,0.752,0.842,112.7,48.7,2.706,2701271,1160332
498,149,19.8,0.2,0.752,0.824,51.8,23.3,2.616,2770208,1192840
499,83,14.9,0.15,0.752,0.868,38.4,18.2,2.584,2785995,1198534
500,985,137.9,1.38,0.752,0.841,380.1,173.4,2.757,2797372,1134413
501,502,158.8,1.59,0.752,0.889,442.1,214.2,2.784,2695626,1170405
502,824,222.7,2.23,0.752,0.859,636.6,309.5,2.859,2749674,1151664
503,250,10.2,0.1,0.752,0.791,26.3,12.2,2.562,2805765,1185792
504,1088,152.9,1.53,0.752,0.842,422.1,202.5,2.761,2767214,1176665
505,174,23.0,0.23,0.752,0.841,64.3,32.3,2.794,2814567,1190978
506,683,128.9,1.29,0.752,0.839,361.9,176.2,2.808,2773379,1160722
507,740,154.9,1.55,0.752,0.859,428.6,193.9,2.767,2732479,1158252
508,373,50.1,0.5,0.751,0.817,134.1,59.8,2.675,2759026,1178769
509,152,29.9,0.3,0.751,0.833,77.3,35.7,2.581,2765680,1192288
510,336,41.1,0.41,0.751,0.86,115.8,56.0,2.816,2709043,1181088
511,455,11.4,0.11,0.751,0.845,32.2,15.3,2.827,2722338,1174447
512,875,11.9,0.12,0.751,0.83,34.0,16.2,2.848,2767653,1147818
513,904,15.8,0.16,0.751,0.819,46.1,23.6,2.913,2766367,1144702
514,776,23.7,0.24,0.751,0.883,64.0,29.0,2.701,2748451,1156251
515,425,86.7,0.87,0.751,0.849,237.0,107.5,2.734,2701558,1176196
